description,category,amount
Biryani By Kilo,Food & Dining,708.73
Excitel Broadband,Utilities & Bills,353.37
BluSmart EV Cab,Transport,103.38
IndiGo Airlines,Travel,6238.49
broadband bill pay,Utilities & Bills,720.43
Zepto Quick Grocery,Groceries,1292.2
Ludo King Premium,Entertainment,223.27
petrol pump payment,Transport,129.99
mess fee online,Food & Dining,648.77
dental clinic payment,Healthcare,620.24
Zepto Quick Grocery,Groceries,1176.98
EatFit Health,Food & Dining,195.13
TNEB Power Bill,Utilities & Bills,2253.39
Croma Electronics,Shopping,590.29
travel insurance,Travel,2051.01
AkasaAir Booking,Travel,7586.54
Ajio Fashion,Shopping,3091.12
auto rickshaw UPI,Transport,643.06
Dish TV Recharge,Utilities & Bills,439.16
Lifestyle Stores,Shopping,4494.15
Library Fine Payment,Education,7872.57
RTGS Transfer,Transfers & ATM,10590.29
holiday inn payment,Travel,4130.86
NEFT Transfer HDFC*45739,Transfers & ATM,5736.87
Narayana Health,Healthcare,1151.01
fresh produce market,Groceries,379.16
JioMart Kiryana Store,Groceries,916.17
GPay/Send/37948,Transfers & ATM,11581.3
UPI transfer friend,Transfers & ATM,2601.65
kirana store upi,Groceries,630.97
AkasaAir Booking,Travel,10878.58
gaming purchase Steam,Entertainment,902.82
vegetables fruits purchase,Groceries,1773.31
mess fee online,Food & Dining,859.42
mess fee online,Food & Dining,145.5
Apollo Pharmacy Order,Healthcare,1936.06
rent payment UPI,Transfers & ATM,1112.38
train ticket booking,Transport,88.58
GoFirst Air,Travel,4501.2
NEFT Transfer HDFC*80432,Transfers & ATM,3050.37
resort booking,Travel,5906.69
Behrouz Biryani,Food & Dining,251.14
SonyLIV Premium,Entertainment,282.0
PharmEasy Order,Healthcare,651.89
RedBus Ticket Booking,Transport,154.83
Fassos Wrap,Food & Dining,292.89
Duolingo Premium,Education,7466.77
ACT Fibernet Bill,Utilities & Bills,276.59
SonyLIV Premium,Entertainment,687.32
metro card recharge,Transport,472.13
FOOD*DELIV*64040,Food & Dining,107.76
money sent UPI,Transfers & ATM,10079.68
vegetables fruits purchase,Groceries,565.75
BEST Bus Mumbai,Transport,715.44
Starbucks India,Food & Dining,553.77
Pizza Hut Delivery,Food & Dining,916.66
BEST Bus Mumbai,Transport,478.85
entertainment subscription,Entertainment,652.43
H&M India Online,Shopping,1943.26
Practo Consult Fee,Healthcare,895.6
cab booking fare,Transport,240.48
SBI ATM Withdrawal,Transfers & ATM,2338.91
petrol pump payment,Transport,775.54
resort booking,Travel,2343.95
broadband bill pay,Utilities & Bills,1605.71
flipkart order delivery,Shopping,4285.45
SpiceJet Booking,Travel,4721.45
ATM cash withdrawal,Transfers & ATM,3432.06
BookMyShow Ticket*71875,Entertainment,127.56
train ticket booking,Transport,572.36
Reliance Digital,Shopping,2259.78
Medplus Pharmacy,Healthcare,751.89
CESC Kolkata,Utilities & Bills,2068.04
bus ticket online,Transport,281.74
Burger King India,Food & Dining,251.18
Max Hospital,Healthcare,894.27
ZMT*ORD39154,Food & Dining,303.52
dinner online order,Food & Dining,465.23
weekly grocery,Groceries,1756.45
eye clinic glasses,Healthcare,1645.73
College Fee Payment*65846,Education,5316.79
SBI ATM Withdrawal,Transfers & ATM,13478.65
IMPS*31926,Transfers & ATM,3557.42
auto rickshaw UPI,Transport,713.18
OLA*CAB*85243,Transport,263.25
Apple Music India,Entertainment,264.49
organic grocery store,Groceries,1962.94
eye clinic glasses,Healthcare,2220.96
DTH recharge Tata Sky,Utilities & Bills,163.41
AkasaAir Booking,Travel,4643.53
GoFirst Air,Travel,10215.82
Library Fine Payment,Education,1510.81
Zara India,Shopping,3891.76
AIRTEL*42444,Utilities & Bills,813.8
metro card recharge,Transport,739.71
Dunzo Quick Commerce,Food & Dining,561.36
Unacademy Learn Subscription,Education,7206.56
upGrad Course Fee,Education,906.07
Adidas India Store,Shopping,3799.26
BigBasket BB Order*15210,Groceries,769.0
Ludo King Premium,Entertainment,593.31
ZOMATO*ORDER53719,Food & Dining,943.65
HealthifyMe Premium,Healthcare,1778.73
food delivery online,Food & Dining,791.97
Practo Consult Fee,Healthcare,398.03
Goibibo Flight Booking,Travel,6080.97
BigBasket BB Order*54453,Groceries,2462.32
Blinkit Instant,Food & Dining,136.32
GOIBO*40497,Travel,4142.5
Apple Music India,Entertainment,990.55
Puma Online India,Shopping,2299.31
ACT Fibernet Bill,Utilities & Bills,1611.05
Yatra.com Ticket,Travel,9733.84
Airbnb India Stay,Travel,1122.7
Hathway Internet,Utilities & Bills,2166.38
BESCOM Electricity Bill,Utilities & Bills,2272.09
fuel station HPCL,Transport,209.55
Yulu Bike Rental,Transport,358.73
Snapdeal Purchase,Shopping,3091.42
Apollo Hospitals,Healthcare,1422.9
IMPS Transfer*85085,Transfers & ATM,1248.49
Lifestyle Stores,Shopping,1027.92
tour payment,Travel,9787.11
Ajio Fashion,Shopping,1508.67
GPay/Send/64927,Transfers & ATM,3381.9
RTGS Transfer,Transfers & ATM,3143.07
Meesho App Purchase,Shopping,2090.13
Pizza Hut Delivery,Food & Dining,866.04
Blinkit Instant,Food & Dining,570.77
AIRTEL*32706,Utilities & Bills,1431.35
Nike India,Shopping,3198.38
ZEE5 Premium,Entertainment,301.38
AIRTEL*31695,Utilities & Bills,223.34
Airtel Prepaid Recharge,Utilities & Bills,2376.78
supermarket bill,Groceries,877.17
Coursera India Course,Education,1984.13
resort booking,Travel,754.51
IMPS Transfer*58487,Transfers & ATM,8524.41
SPOTIFY*67912,Entertainment,203.62
Library Fine Payment,Education,5626.69
split bill payment,Transfers & ATM,13177.38
hotel booking online,Travel,8247.53
DTH recharge Tata Sky,Utilities & Bills,428.45
Dream11 contest,Entertainment,104.75
movie ticket booking,Entertainment,440.35
Boat Audio Products,Shopping,1857.12
FOOD*DELIV*15229,Food & Dining,1086.8
BSNL Landline,Utilities & Bills,306.41
JioSaavn Pro,Entertainment,201.5
FOOD*DELIV*80798,Food & Dining,170.25
Country Delight Milk,Groceries,1878.82
supermarket bill,Groceries,304.63
Paytm Wallet Load,Transfers & ATM,11108.79
kirana store upi,Groceries,1077.6
visa fee,Travel,7111.28
online course payment,Education,3538.69
metro card recharge,Transport,643.44
phonepe send,Transfers & ATM,1287.72
UPI transfer friend,Transfers & ATM,3666.6
UPI transfer friend,Transfers & ATM,12153.44
GPay/Send/94835,Transfers & ATM,10729.04
movie ticket booking,Entertainment,397.56
GoFirst Air,Travel,1449.27
supermarket bill,Groceries,2410.75
IRCTC Tatkal Ticket,Travel,6235.86
Ludo King Premium,Entertainment,897.8
Vijay Sales,Shopping,1356.65
swiggy se khana,Food & Dining,1010.24
clothes shopping,Shopping,3266.8
BigBasket BB Order*90213,Groceries,1618.98
doctor consultation fee,Healthcare,1128.03
friend money sent,Transfers & ATM,10785.39
Disney+ Hotstar Premium,Entertainment,712.07
diagnostic center fee,Healthcare,2000.16
Narayana Health,Healthcare,1398.93
Great Learning Program,Education,6303.26
ACT Fibernet Bill,Utilities & Bills,808.6
Ajio Fashion,Shopping,2581.27
landlord rent transfer,Transfers & ATM,987.5
Vijay Sales,Shopping,2443.02
health checkup fee,Healthcare,773.61
Airtel Prepaid Recharge,Utilities & Bills,1997.52
lab test booking,Healthcare,360.07
ZMT*ORD12552,Food & Dining,205.29
Vijay Sales,Shopping,1884.63
Rapido Bike Taxi,Transport,521.19
Burger King India,Food & Dining,878.5
Zara India,Shopping,2613.25
flight ticket purchase,Travel,5290.0
yoga class,Healthcare,2138.24
AIRTEL*68121,Utilities & Bills,2042.13
health checkup fee,Healthcare,1643.74
Snapdeal Purchase,Shopping,1839.66
BIGBSKT*84421,Groceries,503.13
Mahanagar Gas Bill,Utilities & Bills,1027.8
gaming purchase Steam,Entertainment,920.48
cash withdrawal ATM,Transfers & ATM,6966.16
hospital bill payment,Healthcare,1790.72
ZOMATO*ORDER85456,Food & Dining,506.03
OLA*RIDE*24996,Transport,689.59
broadband bill pay,Utilities & Bills,261.15
JioMart Kiryana Store,Groceries,907.88
BookMyShow Ticket*31916,Entertainment,490.21
Puma Online India,Shopping,812.54
Apollo Pharmacy Order,Healthcare,739.82
Gaana Music Pro,Entertainment,705.43
Cafe Coffee Day,Food & Dining,184.59
ZOMATO*ORDER56105,Food & Dining,414.45
flight ticket purchase,Travel,9080.25
ATM cash withdrawal,Transfers & ATM,1997.66
exam registration fee,Education,429.08
H&M India Online,Shopping,818.1
NEET coaching fee,Education,1929.59
dinner online order,Food & Dining,219.58
Burger King India,Food & Dining,1012.84
money sent UPI,Transfers & ATM,9890.78
Indian Oil Fuel,Transport,561.35
BEST Bus Mumbai,Transport,631.77
Tata CLiQ,Shopping,3325.08
FOOD*DELIV*24029,Food & Dining,911.51
lunch delivery,Food & Dining,171.73
OLA*RIDE*62757,Transport,757.01
UPI transfer friend,Transfers & ATM,9352.04
Air India Ticket,Travel,4105.04
APOLLO*84537,Healthcare,232.5
Amazon Prime Video,Entertainment,369.66
TNEB Power Bill,Utilities & Bills,738.93
KFC India Order,Food & Dining,155.49
NEFT*90691,Transfers & ATM,3698.3
FOOD*DELIV*49363,Food & Dining,647.98
Lifestyle Stores,Shopping,3376.97
Delhi Metro DMRC,Transport,797.71
book purchase Amazon,Education,862.29
Ajio Fashion,Shopping,386.92
GPay/Send/21062,Transfers & ATM,14526.51
Country Delight Milk,Groceries,2149.94
BluSmart EV Cab,Transport,453.94
zomato order khaana,Food & Dining,379.87
Yulu Bike Rental,Transport,290.79
UNACAD*92603,Education,3413.65
tour payment,Travel,11179.51
FabHotels,Travel,1315.05
AMZN*PAY*27009,Shopping,3136.96
OLA*RIDE*73532,Transport,141.07
diagnostic center fee,Healthcare,1780.27
fuel station HPCL,Transport,497.59
Faasos Online,Food & Dining,259.18
BPCL Petrol,Transport,76.92
GPay/Send/39855,Transfers & ATM,1921.93
Gaana Music Pro,Entertainment,744.62
clothes shopping,Shopping,4976.47
OYO Rooms Booking*67915,Travel,4040.48
AIRTEL*75673,Utilities & Bills,1940.83
mobile accessories,Shopping,3950.08
MMYT*46087,Travel,10478.11
sabzi mandi payment,Groceries,2131.91
GPay/Send/79501,Transfers & ATM,10401.71
Meesho App Purchase,Shopping,236.11
travel insurance,Travel,4494.15
UBER*TRIP*78347,Transport,276.22
IMPS Transfer*97836,Transfers & ATM,13878.76
NEET coaching fee,Education,5705.84
UBER*TRIP*95461,Transport,785.61
Tikona Internet,Utilities & Bills,1581.29
McDonald's India,Food & Dining,1138.46
visa fee,Travel,583.01
fresh produce market,Groceries,1914.78
SonyLIV Premium,Entertainment,804.19
upGrad Course Fee,Education,2405.96
BookMyShow Ticket*34561,Entertainment,486.88
Ola Electric Scooter,Transport,113.89
EatFit Health,Food & Dining,537.4
Medplus Pharmacy,Healthcare,1624.29
clothes shopping,Shopping,4991.12
FLPKRT*64600,Shopping,1098.29
broadband bill pay,Utilities & Bills,629.7
mobile accessories,Shopping,2231.77
UPI/PhonePe/71763,Transfers & ATM,13654.09
Apollo Hospitals,Healthcare,185.23
Great Learning Program,Education,6076.17
Myntra Fashion,Shopping,290.24
Fassos Wrap,Food & Dining,713.05
Netflix India Subscription,Entertainment,333.7
entertainment subscription,Entertainment,436.01
YouTube Premium Monthly,Entertainment,394.17
utility bill,Utilities & Bills,2414.09
SWGY*97012,Food & Dining,788.89
Jio Recharge RJIL*66072,Utilities & Bills,584.77
Air India Ticket,Travel,7778.45
College Fee Payment*80597,Education,1811.72
Meru Cabs,Transport,304.91
NEET coaching fee,Education,3287.71
utility bill,Utilities & Bills,2201.86
BYJU'S App Payment,Education,2989.75
Xbox Game Pass,Entertainment,835.54
yoga class,Healthcare,250.66
fresh produce market,Groceries,379.59
Faasos Online,Food & Dining,1035.26
Manipal Hospital,Healthcare,2453.31
SBI ATM Withdrawal,Transfers & ATM,3231.13
health checkup fee,Healthcare,485.54
Medplus Pharmacy,Healthcare,541.49
Nature's Basket Order,Groceries,1642.56
boAt Lifestyle,Shopping,1680.3
Jio Recharge RJIL*42053,Utilities & Bills,209.4
PharmEasy Order,Healthcare,1207.41
Puma Online India,Shopping,2806.09
Hathway Internet,Utilities & Bills,1038.11
cab booking fare,Transport,506.65
Burger King India,Food & Dining,1152.08
sabzi mandi payment,Groceries,1101.78
Dunzo Quick Commerce,Food & Dining,376.2
H&M India Online,Shopping,2161.5
Burger King India,Food & Dining,600.84
Meesho App Purchase,Shopping,441.96
1MG*91675,Healthcare,288.47
RTGS Transfer,Transfers & ATM,12601.49
gaming purchase Steam,Entertainment,534.76
Columbia Asia,Healthcare,2396.06
train ticket booking,Transport,194.44
Udemy Course Purchase,Education,5390.21
Uber India Trip,Transport,174.44
PlayStation Store,Entertainment,540.91
Reliance Fresh,Groceries,2452.29
CESC Kolkata,Utilities & Bills,1532.06
movie ticket booking,Entertainment,260.93
Faasos Online,Food & Dining,156.85
Ajio Fashion,Shopping,4773.34
Max Hospital,Healthcare,1975.7
flight ticket purchase,Travel,11487.63
dinner online order,Food & Dining,1135.52
ZMT*ORD62383,Food & Dining,353.26
Apollo Pharmacy Order,Healthcare,2608.34
eye clinic glasses,Healthcare,2638.46
Faasos Online,Food & Dining,416.0
parking fee,Transport,695.39
Box8 Meals,Food & Dining,1195.66
GOIBO*58653,Travel,7637.68
College Fee Payment*13113,Education,3835.49
khaana order,Food & Dining,904.28
UNACAD*88188,Education,4847.18
vegetables fruits purchase,Groceries,687.31
College Fee Payment*96413,Education,1216.08
Ola Electric Scooter,Transport,496.28
dinner online order,Food & Dining,1038.68
Amazon Prime Video,Entertainment,850.34
Gaana Music Pro,Entertainment,423.63
McDonald's India,Food & Dining,590.07
Vodafone Idea Vi,Utilities & Bills,1211.5
SPOTIFY*92447,Entertainment,748.06
medicine purchase,Healthcare,446.71
BYJU'S App Payment,Education,7230.81
More Supermarket,Groceries,549.5
Rapido Bike Taxi,Transport,423.78
Tikona Internet,Utilities & Bills,118.13
Vogo Scooter,Transport,127.7
Great Learning Program,Education,6911.95
Dunzo Quick Commerce,Food & Dining,223.8
Ludo King Premium,Entertainment,197.91
Milkbasket Order,Groceries,1428.83
SonyLIV Premium,Entertainment,153.86
kirana store upi,Groceries,1710.94
IRCTC Tatkal Ticket,Travel,7071.21
1MG*80795,Healthcare,906.0
electronics purchase,Shopping,2673.32
rent payment UPI,Transfers & ATM,8242.13
DMart Ready Grocery,Groceries,1780.22
NEFT*46827,Transfers & ATM,4490.65
sabzi mandi payment,Groceries,460.28
food delivery online,Food & Dining,237.0
Airtel Prepaid Recharge,Utilities & Bills,758.92
online course payment,Education,2501.54
BYJU*40475,Education,7307.57
bank transfer online,Transfers & ATM,14282.09
UNACAD*16086,Education,606.31
hospital bill payment,Healthcare,2046.77
kirana store upi,Groceries,1369.64
BIGBSKT*85886,Groceries,1028.43
KFC India Order,Food & Dining,1020.65
Dream11 contest,Entertainment,619.63
khaana order,Food & Dining,600.4
money sent UPI,Transfers & ATM,5146.73
auto rickshaw UPI,Transport,778.32
concert ticket,Entertainment,637.13
KFC India Order,Food & Dining,958.77
movie ticket booking,Entertainment,763.82
Library Fine Payment,Education,967.78
Fassos Wrap,Food & Dining,355.76
dinner online order,Food & Dining,334.91
Meru Cabs,Transport,567.74
WinZO Games,Entertainment,457.47
BIGBSKT*15559,Groceries,2218.89
Hathway Internet,Utilities & Bills,1250.72
Swiggy Instamart,Groceries,1628.01
Country Delight Milk,Groceries,1017.94
Delhi Metro DMRC,Transport,415.66
medicine purchase,Healthcare,1716.54
flight ticket purchase,Travel,3487.78
Tata CLiQ,Shopping,3786.87
Library Fine Payment,Education,4407.24
NEFT Transfer HDFC*35391,Transfers & ATM,2133.85
DMART*60307,Groceries,351.94
Mahanagar Gas Bill,Utilities & Bills,1816.28
travel booking,Travel,1724.35
Duolingo Premium,Education,7129.62
flipkart order delivery,Shopping,380.23
Burger King India,Food & Dining,1102.71
IMPS Transfer*21683,Transfers & ATM,10747.75
SpiceJet Booking,Travel,4457.61
BIGBSKT*83490,Groceries,2330.6
BluSmart EV Cab,Transport,566.51
supermarket bill,Groceries,2139.61
Pizza Hut Delivery,Food & Dining,473.28
Mahanagar Gas Bill,Utilities & Bills,1971.63
cash withdrawal ATM,Transfers & ATM,12468.0
Jio Recharge RJIL*60165,Utilities & Bills,1739.39
OYO Rooms Booking*20369,Travel,2362.99
BigBasket BB Order*85701,Groceries,1944.54
landlord rent transfer,Transfers & ATM,7593.59
Pizza Hut Delivery,Food & Dining,938.93
food delivery online,Food & Dining,575.22
parking fee,Transport,394.8
GoFirst Air,Travel,6277.62
Vijay Sales,Shopping,1937.68
Swiggy Instamart,Groceries,2490.79
JioSaavn Pro,Entertainment,238.61
train ticket booking,Transport,329.49
MakeMyTrip Hotel*14543,Travel,11804.0
fresh produce market,Groceries,900.47
TNEB Power Bill,Utilities & Bills,2437.53
Apollo Hospitals,Healthcare,894.21
MPL Gaming,Entertainment,617.5
Vistara Flight,Travel,2785.32
utility bill,Utilities & Bills,1643.21
concert ticket,Entertainment,620.23
skill development course,Education,6492.82
Lifestyle Stores,Shopping,379.55
Indian Oil Fuel,Transport,522.08
movie ticket booking,Entertainment,294.31
Goibibo Flight Booking,Travel,2977.87
electricity bill payment,Utilities & Bills,1451.46
Fortis Healthcare,Healthcare,889.36
flipkart order delivery,Shopping,2811.14
BESCOM Electricity Bill,Utilities & Bills,2319.03
Amazon Prime Video,Entertainment,766.13
Netflix India Subscription,Entertainment,315.6
Faasos Online,Food & Dining,204.69
MSEDCL Electricity,Utilities & Bills,2475.45
BSNL Landline,Utilities & Bills,1443.2
GPay/Send/79588,Transfers & ATM,974.36
Meru Cabs,Transport,181.73
BESCOM Electricity Bill,Utilities & Bills,377.68
organic grocery store,Groceries,1590.99
Medplus Pharmacy,Healthcare,656.47
lunch delivery,Food & Dining,80.45
Mumbai Metro MMR,Transport,248.48
d2h recharge,Utilities & Bills,661.18
gadget buy,Shopping,1303.76
health checkup fee,Healthcare,421.44
FLPKRT*50988,Shopping,1110.39
ShopClues Order,Shopping,4999.89
Dunzo Quick Commerce,Food & Dining,385.03
Biryani By Kilo,Food & Dining,1079.06
OYO Rooms Booking*29148,Travel,1144.44
hotel booking online,Travel,2202.14
PVR Cinemas*70249,Entertainment,919.91
Jio Recharge RJIL*37973,Utilities & Bills,1243.81
upGrad Course Fee,Education,7264.53
InDrive Cab,Transport,387.89
language learning app,Education,6856.08
McDonald's India,Food & Dining,1162.92
ACT Fibernet Bill,Utilities & Bills,622.01
Yatra.com Ticket,Travel,6516.81
Milkbasket Order,Groceries,1416.58
Duolingo Premium,Education,1210.07
Paytm Wallet Load,Transfers & ATM,7060.4
UPI transfer friend,Transfers & ATM,6935.97
Reliance Digital,Shopping,417.05
BEST Bus Mumbai,Transport,771.43
rent payment UPI,Transfers & ATM,14626.75
broadband bill pay,Utilities & Bills,302.49
Croma Electronics,Shopping,652.72
Indian Oil Fuel,Transport,545.89
Boat Audio Products,Shopping,4935.54
auto rickshaw UPI,Transport,575.89
kirana store upi,Groceries,1856.46
certification exam fee,Education,719.21
Tata Power Mumbai Bill,Utilities & Bills,2246.14
auto rickshaw UPI,Transport,216.03
eye clinic glasses,Healthcare,792.91
book purchase Amazon,Education,2570.63
diagnostic center fee,Healthcare,2429.71
Dream11 contest,Entertainment,353.75
Gaana Music Pro,Entertainment,370.75
Starbucks India,Food & Dining,534.8
Mumbai Metro MMR,Transport,785.58
Blinkit Grocery*28102,Groceries,910.7
PharmEasy Order,Healthcare,1228.39
travel insurance,Travel,5065.64
grocery shopping online,Groceries,661.28
Narayana Health,Healthcare,1492.19
Yatra.com Ticket,Travel,9005.19
Vogo Scooter,Transport,214.25
Simplilearn Course,Education,1870.01
Apollo Pharmacy Order,Healthcare,1112.92
AMZN*PAY*46663,Shopping,4161.32
Hathway Internet,Utilities & Bills,944.12
Practo Consult Fee,Healthcare,310.08
milk subscription daily,Groceries,2204.0
BESCOM Electricity Bill,Utilities & Bills,361.6
holiday package,Travel,7880.14
RedBus Ticket Booking,Transport,535.78
health checkup fee,Healthcare,352.96
UPI/PhonePe/30188,Transfers & ATM,4308.82
mess fee online,Food & Dining,921.27
yoga class,Healthcare,371.75
DTH recharge Tata Sky,Utilities & Bills,694.97
Boat Audio Products,Shopping,577.61
DMart Ready Grocery,Groceries,1734.09
holiday inn payment,Travel,4348.55
BEST Bus Mumbai,Transport,759.06
diagnostic center fee,Healthcare,256.78
Flipkart Internet Pvt,Shopping,1343.75
UPI transfer friend,Transfers & ATM,8891.22
entertainment subscription,Entertainment,191.96
JEE preparation course,Education,4914.65
Columbia Asia,Healthcare,2406.75
Excitel Broadband,Utilities & Bills,2079.46
UPI transfer friend,Transfers & ATM,8902.27
zomato order khaana,Food & Dining,1093.42
organic grocery store,Groceries,2309.71
BEST Bus Mumbai,Transport,692.01
SWGY*88907,Food & Dining,109.72
gym membership fee,Healthcare,717.46
travel booking,Travel,7675.66
split bill payment,Transfers & ATM,7141.1
book purchase Amazon,Education,4014.48
PlayStation Store,Entertainment,975.8
diagnostic center fee,Healthcare,587.73
NEFT Transfer HDFC*24544,Transfers & ATM,6052.85
movie ticket booking,Entertainment,598.27
Spotify Premium India,Entertainment,701.85
Ludo King Premium,Entertainment,665.33
FOOD*DELIV*77839,Food & Dining,585.66
Snapdeal Purchase,Shopping,409.31
H&M India Online,Shopping,4378.39
Nykaa Beauty Order,Shopping,2740.94
Mahanagar Gas Bill,Utilities & Bills,1105.58
Behrouz Biryani,Food & Dining,157.9
online course payment,Education,3730.23
Lifestyle Stores,Shopping,2415.53
Duolingo Premium,Education,2937.91
clothes shopping,Shopping,3465.59
Paytm Wallet Load,Transfers & ATM,5911.43
online course payment,Education,1118.93
d2h recharge,Utilities & Bills,1501.16
Faasos Online,Food & Dining,461.0
NEET coaching fee,Education,5011.09
boAt Lifestyle,Shopping,993.75
d2h recharge,Utilities & Bills,2196.18
IMPS Transfer*90024,Transfers & ATM,10529.27
H&M India Online,Shopping,4347.85
Subway India,Food & Dining,262.17
ATM cash withdrawal,Transfers & ATM,7649.23
vegetables fruits purchase,Groceries,2381.78
Meru Cabs,Transport,754.29
diagnostic center fee,Healthcare,514.64
RTGS Transfer,Transfers & ATM,9892.99
Faasos Online,Food & Dining,351.99
Coursera India Course,Education,7205.85
Manipal Hospital,Healthcare,2496.99
Country Delight Milk,Groceries,1278.16
BigBasket BB Order*45370,Groceries,2385.46
vegetables fruits purchase,Groceries,380.65
Paytm Wallet Load,Transfers & ATM,8116.33
Boat Audio Products,Shopping,3982.76
hotel booking online,Travel,3715.74
sabzi mandi payment,Groceries,1638.03
Udemy Course Purchase,Education,1016.66
split bill payment,Transfers & ATM,4032.85
BMTC Bengaluru,Transport,672.85
Country Delight Milk,Groceries,1923.68
Great Learning Program,Education,1862.97
cash withdrawal ATM,Transfers & ATM,3517.58
Library Fine Payment,Education,4308.19
IRCTC E-TICKET*40771,Transport,523.37
Box8 Meals,Food & Dining,315.91
Hathway Internet,Utilities & Bills,1783.62
bus ticket online,Transport,205.84
ott platform payment,Entertainment,217.75
AIRTEL*29840,Utilities & Bills,2307.67
GPay/Send/90847,Transfers & ATM,12174.73
Paytm Wallet Load,Transfers & ATM,11970.26
Ajio Fashion,Shopping,4190.29
Nature's Basket Order,Groceries,1798.66
Pizza Hut Delivery,Food & Dining,456.15
Milkbasket Order,Groceries,662.73
Simplilearn Course,Education,1330.02
holiday package,Travel,10413.27
Disney+ Hotstar Premium,Entertainment,904.31
Cafe Coffee Day,Food & Dining,308.03
Flipkart Internet Pvt,Shopping,1888.67
concert ticket,Entertainment,401.74
hotel booking online,Travel,3619.35
BYJU*40375,Education,783.09
Yulu Bike Rental,Transport,259.74
d2h recharge,Utilities & Bills,895.16
OLA*RIDE*49608,Transport,536.93
Udemy Course Purchase,Education,6146.52
Reliance Digital,Shopping,751.95
kirana store upi,Groceries,323.74
family transfer,Transfers & ATM,854.0
WinZO Games,Entertainment,591.88
Vodafone Idea Vi,Utilities & Bills,909.95
Air India Ticket,Travel,6614.1
Biryani By Kilo,Food & Dining,431.24
medicine purchase,Healthcare,2005.26
UBER*TRIP*43408,Transport,330.73
Milkbasket Order,Groceries,2346.48
lab test booking,Healthcare,2967.7
auto rickshaw UPI,Transport,447.92
UBER*TRIP*81118,Transport,396.48
flipkart order delivery,Shopping,2394.16
medicine purchase,Healthcare,1266.06
vegetables fruits purchase,Groceries,243.05
mobile accessories,Shopping,4635.86
Treebo Hotels,Travel,3626.45
Nature's Basket Order,Groceries,480.65
PVR Cinemas*63334,Entertainment,686.6
Burger King India,Food & Dining,843.91
OLA*RIDE*23173,Transport,382.76
split bill payment,Transfers & ATM,6039.06
BYJU*10568,Education,4383.34
holiday inn payment,Travel,4233.96
JEE preparation course,Education,3474.42
Ajio Fashion,Shopping,2591.17
InDrive Cab,Transport,478.94
educational material,Education,1937.47
Blinkit Grocery*10463,Groceries,1631.89
tuition fee payment,Education,5278.17
vegetables fruits purchase,Groceries,1525.61
Nykaa Beauty Order,Shopping,1333.33
BPCL Petrol,Transport,237.99
Mahanagar Gas Bill,Utilities & Bills,1524.42
language learning app,Education,5039.8
McDonald's India,Food & Dining,682.15
AMZN*PAY*47967,Shopping,3280.8
BESCOM Electricity Bill,Utilities & Bills,151.34
Adidas India Store,Shopping,4075.08
entertainment subscription,Entertainment,233.3
Vijay Sales,Shopping,432.61
Ola Electric Scooter,Transport,558.21
resort booking,Travel,11022.6
DMart Ready Grocery,Groceries,636.66
bank transfer online,Transfers & ATM,6802.74
cab booking fare,Transport,534.76
online course payment,Education,2600.93
ATM cash withdrawal,Transfers & ATM,7801.71
