ds,y
2021-11-04,1911.48
2021-11-05,1062.38
2021-11-06,1241.53
2021-11-07,1673.94
2021-11-08,144.68
2021-11-09,3676.85
2021-11-12,56.12
2021-12-01,2856.0
2021-12-03,39.57
2021-12-04,1741.03
2021-12-05,797.58
2021-12-07,1770.41
2021-12-12,1933.71
2022-01-01,1043.47
2022-01-02,1412.75
2022-01-03,1779.63
2022-01-04,4748.82
2022-01-06,2943.57
2022-01-07,1858.46
2022-01-09,696.49
2022-01-10,1732.39
2022-01-12,1765.47
2022-02-02,640.91
2022-02-03,2735.0
2022-02-04,2295.43
2022-02-05,2088.71
2022-02-07,1137.72
2022-02-08,3711.67
2022-02-09,2920.0
2022-02-10,281.7
2022-03-01,4710.89
2022-03-04,1910.24
2022-03-05,103.3
2022-03-08,1609.0
2022-03-09,1991.17
2022-03-10,824.18
2022-03-11,1149.74
2022-03-12,195.75
2022-04-01,1420.39
2022-04-03,3208.0
2022-04-04,1310.53
2022-04-06,975.92
2022-04-07,1984.82
2022-04-08,671.11
2022-04-09,1025.63
2022-04-10,3288.51
2022-04-11,279.82
2022-04-12,749.97
2022-05-01,743.03
2022-05-02,2375.26
2022-05-03,2607.0
2022-05-04,1985.77
2022-05-05,2396.19
2022-05-07,687.78
2022-05-09,685.0
2022-05-10,457.44
2022-05-11,1838.35
2022-05-12,977.23
2022-06-01,1171.57
2022-06-02,1909.67
2022-06-05,1511.29
2022-06-06,4642.0
2022-06-07,1938.15
2022-06-08,886.04
2022-06-09,1357.51
2022-07-03,1835.1
2022-07-05,3557.8
2022-07-06,2561.47
2022-07-08,607.87
2022-07-09,4727.0
2022-07-11,4543.84
2022-07-12,508.0
2022-08-01,1197.85
2022-08-02,792.97
2022-08-04,1458.44
2022-08-05,4433.23
2022-08-09,3211.0
2022-08-10,1135.64
2022-09-01,1445.59
2022-09-02,1497.2
2022-09-04,2865.06
2022-09-05,1620.15
2022-09-11,984.02
2022-10-02,3866.08
2022-10-04,1967.18
2022-10-09,471.39
2022-10-10,1103.96
2022-10-11,1259.35
2022-11-02,3205.0
2022-11-05,1748.5
2022-11-06,5485.0
2022-11-09,449.0
2022-12-03,1655.71
2022-12-06,4460.6
2022-12-08,963.23
2022-12-09,904.65
2022-12-10,3782.67
2022-12-12,274.07
2023-01-02,366.13
2023-01-04,3244.11
2023-01-07,249.36
2023-01-08,555.22
2023-01-09,3124.84
2023-02-02,1110.2
2023-02-05,1358.26
2023-02-06,4981.0
2023-02-07,1898.63
2023-03-01,4105.0
2023-03-02,456.79
2023-03-03,1487.17
2023-03-05,987.0
2023-03-06,682.52
2023-03-09,1314.25
2023-03-10,19.29
2023-04-01,5383.88
2023-04-04,964.57
2023-04-06,1411.96
2023-04-08,1274.47
2023-04-09,3677.87
2023-04-10,1946.29
2023-04-11,4577.0
2023-05-03,4953.43
2023-05-05,4505.68
2023-05-06,1218.56
2023-05-07,3219.0
2023-05-08,2481.0
2023-05-10,2353.0
2023-05-11,2654.0
2023-05-12,2999.02
2023-06-01,1794.22
2023-06-02,549.8
2023-06-07,411.82
2023-06-10,631.06
2023-06-12,871.37
2023-07-02,1844.9
2023-07-03,280.86
2023-07-04,1826.23
2023-07-05,281.54
2023-07-07,1853.06
2023-07-08,1058.45
2023-07-09,1813.99
2023-08-02,4720.62
2023-08-03,6252.95
2023-08-04,548.17
2023-08-06,1035.97
2023-08-10,6268.39
2023-08-11,2190.21
2023-08-12,698.04
2023-09-01,3645.0
2023-09-02,661.33
2023-09-04,740.0
2023-09-06,1433.36
2023-09-08,1565.06
2023-09-10,1565.03
2023-09-11,1687.56
2023-09-12,338.99
2023-10-01,635.86
2023-10-03,761.54
2023-10-04,1662.62
2023-10-06,500.02
2023-10-07,4888.83
2023-10-08,2858.48
2023-10-09,1692.38
2023-10-12,1705.22
2023-11-01,1190.0
2023-11-07,1573.63
2023-11-08,1730.61
2023-11-09,2047.75
2023-11-10,1502.73
2023-11-11,3349.29
2023-11-12,1505.35
2023-12-02,744.15
2023-12-03,191.51
2023-12-05,4491.0
2023-12-09,2346.66
2024-01-02,1388.94
2024-01-06,1671.4
2024-01-07,3657.0
2024-01-08,1451.74
2024-01-09,1037.84
2024-01-10,2938.46
2024-01-11,1881.47
2024-02-01,1201.0
2024-02-03,1033.48
2024-02-05,1457.58
2024-02-06,1797.71
2024-02-08,3123.76
2024-02-09,2533.0
2024-02-10,2010.3
2024-02-11,429.04
2024-02-12,39.3
2024-03-03,97.26
2024-03-04,1920.67
2024-03-05,1627.16
2024-03-06,1037.58
2024-03-08,1281.1
2024-03-10,951.24
2024-03-11,199.42
2024-04-01,5888.0
2024-04-04,591.0
2024-04-05,3124.82
2024-04-06,978.85
2024-04-10,9078.0
2024-05-03,2518.42
2024-05-05,2605.42
2024-05-07,2157.0
2024-05-09,6233.96
2024-05-12,630.04
2024-06-02,3674.0
2024-06-03,3407.95
2024-06-04,255.24
2024-06-06,1008.66
2024-06-07,1654.76
2024-06-09,1003.01
2024-06-12,932.73
2024-07-01,2266.0
2024-07-02,4095.01
2024-07-03,1353.93
2024-07-04,4900.0
2024-07-06,2384.0
2024-07-07,4704.13
2024-07-09,2674.0
2024-07-10,802.82
2024-08-03,184.17
2024-08-04,616.34
2024-08-08,1234.23
2024-08-09,1671.53
2024-08-10,438.78
2024-09-01,2316.41
2024-09-04,761.66
2024-09-06,2232.0
2024-09-08,486.12
2024-09-10,905.21
2024-09-12,169.64
2024-10-01,1546.57
2024-10-02,4728.86
2024-10-04,5392.71
2024-10-06,3467.0
2024-10-09,320.43
2024-10-10,1421.85
2024-11-01,7822.57
2024-11-03,1077.0
2024-11-04,588.4
2024-11-08,1211.0
2024-11-10,1736.06
2024-11-11,1529.94
2024-11-12,121.52
2024-12-01,1386.72
2024-12-06,1325.61
2024-12-10,1157.94
2024-12-11,466.42
2024-12-12,4715.95
